source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
wind_farms_hourly,m4_hourly,0,True,q9,9,-1.7508905098988459,-1.9045764343719929,-1.5867265363018281,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,10,-0.4790564038203309,-0.6043880741222074,-0.36322034699903016,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,11,-0.8396784056149995,-0.942697043319997,-0.73915807594801,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,124,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,0,-0.7416104496442353,-0.8610479836608518,-0.6175723409392618,False,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,1,0.1451746405087988,0.015562754351851905,0.2838997146127296,True,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,2,0.28422016015419604,0.1525940223764058,0.424443485361583,True,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,3,0.7348263973456164,0.5852646395479368,0.8906804833290894,True,True,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,4,0.5563133568030141,0.40956008356987805,0.7092189557205733,True,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,5,0.3021264921701876,0.1810422283262397,0.4304615431993127,True,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,6,0.35323345092626734,0.21555175580140945,0.4990445044331392,True,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,7,-0.24607715074832637,-0.40710797837312657,-0.07536876776563813,False,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,8,-0.32713878943369945,-0.46620422957331875,-0.18640958127483628,False,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,9,-0.515682787345006,-0.6404688266998501,-0.3918481338104564,False,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,10,-0.16622764202264584,-0.28123355301391517,-0.05202254533313444,False,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,11,-0.16565456922237676,-0.2552061889207141,-0.07322531043093254,False,False,False,286,650,5000
wind_farms_hourly,monash_electricity_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,286,650,5000
wind_farms_hourly,uber_tlc_hourly,0,True,q9,0,0.6016306059177108,0.5123961804206895,0.6882426144449774,True,True,False,245,650,5000
wind_farms_hourly,uber_tlc_hourly,0,True,q9,1,0.45495020169478195,0.29133450215641965,0.609366977055913,True,False,False,245,650,5000
wind_farms_hourly,uber_tlc_hourly,0,True,q9,2,0.36301473910991966,0.23005381416431248,0.4949465942744059,True,False,False,245,650,5000
wind_farms_hourly,uber_tlc_hourly,0,True,q9,3,0.3803127354841971,0.25425097318105605,0.5033941201384518,True,False,False,245,650,5000
wind_farms_hourly,uber_tlc_hourly,0,True,q9,4,0.1865351845667913,0.0366764296198699,0.32602579240716756,True,False,False,245,650,5000
wind_farms_hourly,uber_tlc_hourly,0,True,q9,5,0.3098093082354625,0.19188086062514126,0.42477759578224045,True,False,False,245,650,5000
