model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
timesfm3,monash_electricity_hourly,noa,tol_0.02,20,16,4,True
timesfm3,monash_electricity_hourly,noa,tol_0.05,20,15,5,True
timesfm3,monash_electricity_hourly,noa,tol_0.1,20,14,6,True
timesfm3,monash_electricity_hourly,ra,tol_0.01,20,16,4,True
timesfm3,monash_electricity_hourly,ra,tol_0.02,20,16,4,True
timesfm3,monash_electricity_hourly,ra,tol_0.05,20,15,5,True
timesfm3,monash_electricity_hourly,ra,tol_0.1,20,14,6,True
timesfm3,monash_electricity_hourly,probe,tol_0.01,20,16,4,True
timesfm3,monash_electricity_hourly,probe,tol_0.02,20,16,4,True
timesfm3,monash_electricity_hourly,probe,tol_0.05,20,15,5,True
timesfm3,monash_electricity_hourly,probe,tol_0.1,20,14,6,True
timesfm3,monash_london_smart_meters,hard,tol_0.01,20,15,5,True
timesfm3,monash_london_smart_meters,hard,tol_0.02,20,1,19,True
timesfm3,monash_london_smart_meters,hard,tol_0.05,20,1,19,True
timesfm3,monash_london_smart_meters,hard,tol_0.1,20,0,20,True
timesfm3,monash_london_smart_meters,noa,tol_0.01,20,15,5,True
timesfm3,monash_london_smart_meters,noa,tol_0.02,20,1,19,True
timesfm3,monash_london_smart_meters,noa,tol_0.05,19,1,18,False
timesfm3,monash_london_smart_meters,noa,tol_0.1,19,0,19,False
timesfm3,monash_london_smart_meters,ra,tol_0.01,20,15,5,True
timesfm3,monash_london_smart_meters,ra,tol_0.02,20,1,19,True
timesfm3,monash_london_smart_meters,ra,tol_0.05,20,1,19,True
timesfm3,monash_london_smart_meters,ra,tol_0.1,20,0,20,True
timesfm3,monash_london_smart_meters,probe,tol_0.01,20,15,5,True
timesfm3,monash_london_smart_meters,probe,tol_0.02,20,1,19,True
timesfm3,monash_london_smart_meters,probe,tol_0.05,20,1,19,True
timesfm3,monash_london_smart_meters,probe,tol_0.1,18,0,18,False
timesfm3,monash_traffic,hard,tol_0.01,20,15,5,True
